service_type,department,division,position_number,job_title,total_pay,city,state
General Government,Executive,Leadership,O003-701,City Manager,310500,Cambridge,MA
General Government,Executive,Leadership,O022-701,Deputy City Manager,284625,Cambridge,MA
Public Safety,Police,Commissioner's Office,M479-701,Police Commissioner,275738,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004723,Superintendent of Schools,266500,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,O501-001,Fire Chief,259037,Cambridge,MA
General Government,Finance,Administration,O006-701,Asst City Mngr/Fiscal,236225,Cambridge,MA
Community Maintenance and Development,Community Development,Administration,O020-701,Asst City Mngr/Comm Devel,236225,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",O011-701,Asst City Mngr/Human Serv,236225,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004449,Deputy Supt/Chief of Academics,232536,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005160,Deputy Supt/Chief of Academics,232536,Cambridge,MA
General Government,Human Resources,Administration,M922-001,Chief People Officer,227699,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,O005-701,Commissioner/Public Works,226079,Cambridge,MA
General Government,Law,Administration,O010-701,City Solicitor,223841,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,M520-002,Admin Officer Support Srv/Fire,222850,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,M522-001,Admin Officer Operations/Fire,220176,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00007217,Chief Financial Officer,219215,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M631-001,Director,218588,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,M036-701,Dir/Emerg Comm,218588,Cambridge,MA
Public Safety,Police,Family and Social Justice,M274-701,Dir. of Clinical Support Srvc,216399,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004452,Chief Operating Officer,214452,Cambridge,MA
General Government,Executive,Leadership,M555-001,Chief of Strategy and Implementation,207000,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000084,Chief Talent Officer,204768,Cambridge,MA
Public Safety,Police,Administration,M492-701,Superintendent/Police,194589,Cambridge,MA
Public Safety,Police,Patrol,M492-702,Superintendent/Police,194589,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000053,Principal 9-12,194031,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005525,Assistant Superintendent,191804,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005161,Chief Equity Officer,191804,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00008217,Assistant Superintendent,191804,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000045,Assistant Superintendent,191804,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M632-001,Director/Construction,191500,Cambridge,MA
General Government,Executive,Leadership,M612-001,Deputy Chief Operating Officer,190495,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005129,Chief Strategy Officer,189852,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,O012-701,Commissioner/Inspectional,188973,Cambridge,MA
General Government,Finance,Revenue,M074-701,Assistant Finance Director,188609,Cambridge,MA
Public Safety,Police,Patrol,M493-706,Deputy Superintendent/Pol,188462,Cambridge,MA
Public Safety,Police,Patrol,M493-705,Deputy Superintendent/Pol,188462,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M160-701,Deputy Commissioner,185757,Cambridge,MA
General Government,Finance,Purchasing,O016-701,Purchasing Agent,184328,Cambridge,MA
General Government,Executive,Leadership,M314-001,Emergency Management Director,184327,Cambridge,MA
General Government,Finance,Assessing,O327-701,Dir/Assessment,184322,Cambridge,MA
General Government,Finance,Budget,O025-701,Budget Director,184322,Cambridge,MA
Human Resource Development,Library,Main Library,O401-701,Dir/Library & Communications,184322,Cambridge,MA
Public Safety,License Commission,Administration,O031-701,Chair/License Commission,184322,Cambridge,MA
General Government,Human Resources,Administration,O014-701,Personnel Director,184322,Cambridge,MA
General Government,Finance,Information Technology,M037-701,Chief Information Officer,183917,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M636-001,Director/System Performance and Turnover,183917,Cambridge,MA
Public Safety,Police,Administration,M493-703,Deputy Superintendent/Pol,183102,Cambridge,MA
Public Safety,Police,Criminal Investigations,M493-707,Deputy Superintendent/Pol,183102,Cambridge,MA
Public Safety,Police,Procedural Justice,M493-704,Deputy Superintendent/Pol,183102,Cambridge,MA
Public Safety,Police,Family and Social Justice,M493-701,Deputy Superintendent/Pol,183102,Cambridge,MA
Public Safety,Police,Patrol,M493-702,Deputy Superintendent/Pol,183102,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M633-001,Director/Design,180122,Cambridge,MA
General Government,Executive,Office of Equity and Inclusion,M649-001,Chief of Equity and Inclusion,179055,Cambridge,MA
General Government,Finance,Auditing,O007-701,City Auditor,176488,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005114,Dir. Prof Learn & Leadership,173589,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000096,Director of Facilities,173070,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004297,Executive Director RSTA,171958,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Administration,O036-701,"Dir/Traffic,Parking,Transporta",171864,Cambridge,MA
General Government,Executive,Leadership,M557-001,Dir. of Community Engagement,171012,Cambridge,MA
Community Maintenance and Development,Water,Administration,O086-701,Managng Dir/Supt/Water,170391,Cambridge,MA
General Government,Executive,Communications,M188-701,Dir/Strategic Planning & Commu,169319,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005048,Exec Dir of Special Education,169193,Cambridge,MA
Education,Cambridge Public Schools,Operations,00004451,Chief Information Officer,169193,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M715-701,Deputy Director of PSIT,169153,Cambridge,MA
General Government,Law,Administration,M058-701,Deputy City Solicitor,167723,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M798-701,Asst Commissioner for Eng.,167669,Cambridge,MA
General Government,Executive,Leadership,M543-001,Chief of Staff,167256,Cambridge,MA
Education,Cambridge Public Schools,School Support,00008347,Teacher,167000,Cambridge,MA
General Government,Finance,Information Technology,M901-701,Asst Dir of Info Tech Admin,164572,Cambridge,MA
General Government,Finance,Information Technology,M906-701,Asst Dir/ IT Infrastructure,164572,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000018,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000015,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000014,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000013,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000001,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000005,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005265,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005266,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005267,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000093,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004143,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004321,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000097,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000101,Principal,163276,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000012,Principal,163276,Cambridge,MA
Public Safety,Police,Professional Standards,M145-701,Dir. of Professional Standards,161310,Cambridge,MA
Public Safety,Police,"Planning, Budget & Personnel",M133-001,"Dir/Plan, Budget, Personnel",161310,Cambridge,MA
Public Safety,Police,"Planning, Budget & Personnel",M102-701,Dir.of Commun. & Media Rel.,161310,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00008269,Assistant Principal 9-12,160734,Cambridge,MA
General Government,Executive,Communications,M531-001,Director of Media Relations and Content Strategy,158355,Cambridge,MA
Public Safety,Police,Professional Standards,S463-028,Police Lieutenant,158001,Cambridge,MA
Public Safety,Police,Patrol,S463-029,Police Lieutenant,158001,Cambridge,MA
Public Safety,Police,Patrol,S463-021,Police Lieutenant,158001,Cambridge,MA
Public Safety,Police,Patrol,S463-038,Police Lieutenant,158001,Cambridge,MA
Public Safety,Police,Patrol,S463-042,Police Lieutenant,158001,Cambridge,MA
Public Safety,Police,Criminal Investigations,S463-037,Police Lieutenant,158001,Cambridge,MA
Public Safety,Police,Traffic Enforcement,S463-045,Police Lieutenant,158001,Cambridge,MA
Public Safety,Police,Patrol,S463-032,Police Lieutenant,158001,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,M343-701,Commissioner/Lab Animals,157579,Cambridge,MA
Public Safety,Police,Patrol,S463-041,Police Lieutenant,157467,Cambridge,MA
Public Safety,Police,Criminal Investigations,S463-033,Police Lieutenant,157467,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M207-002,Asst Commissioner for Admin,157352,Cambridge,MA
Community Maintenance and Development,Public Works,Electrical,O015-701,City Electrician,157137,Cambridge,MA
Public Safety,Police,Patrol,S463-036,Police Lieutenant,156398,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000087,Dir SEL; Dir MTSS,156230,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005590,Dir SEL; Dir MTSS,156230,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M129-702,Asst. Dir. of Public Safety IT,155677,Cambridge,MA
Public Safety,Police,Patrol,S463-018,Police Lieutenant,155520,Cambridge,MA
Public Safety,Police,Patrol,S463-039,Police Lieutenant,155520,Cambridge,MA
Public Safety,Police,Patrol,S463-019,Police Lieutenant,155520,Cambridge,MA
General Government,Law,Administration,M167-701,First Asst City Solicitor,155444,Cambridge,MA
General Government,City Clerk,Administration,O008-701,City Clerk,155250,Cambridge,MA
Public Safety,Police,Training,S463-044,Police Lieutenant,153372,Cambridge,MA
Public Safety,Police,Administration,S463-046,Police Lieutenant,153372,Cambridge,MA
Public Safety,Police,Administration,S463-011,Police Lieutenant,153372,Cambridge,MA
Public Safety,Police,Family and Social Justice,S463-034,Police Lieutenant,153372,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000072,Executive Director,153329,Cambridge,MA
Public Safety,Police,Family and Social Justice,S463-043,Police Lieutenant,152837,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004289,Legal Counsel,151655,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00004498,Coordinator Title I,150451,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004865,Principal HSEP,150365,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00004808,Director Visual & Performing,150018,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000054,Director Math,150018,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000046,Director of Bilingual & JK-12,150018,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004187,Dean of Curriculum & Program,150018,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005147,Director Athletics,150018,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004196,Dean of Curriculum & Program,150018,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000100,Director of Family & Comm Eng,149345,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,M128-701,Asst.Dir. of Training & Admin.,149177,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005264,Principal,148655,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004198,Dean of Students,148308,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005180,Coordinator Special Education,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00001129,Coordinator Special Education,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000028,Coordinator PhysEd Health/Well,146803,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000630,Coordinator of Guidance,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005275,Assistant Director Ed Technolo,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000031,Coordinator Social Studies,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000086,Coordinator World Languages,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000021,Coordinator Science,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00002327,Coordinator Special Education,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00004473,Coordinator Language Arts,146803,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005230,Assistant Director Library Med,146803,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004144,Assistant Principal,146165,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00003877,Director of Equity,145703,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004199,Dean of Students,144660,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004197,Dean of Students,144660,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004201,Dean of Students,144660,Cambridge,MA
General Government,Finance,Assessing,O013-701,Deputy DIrector/Assessor,143520,Cambridge,MA
Community Maintenance and Development,Community Development,Administration,M051-701,Deputy Director/Comm. Dev.,143520,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M231-701,Asst.Dir./Child Yth & Fam Srv,143520,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,M308-701,Asst. Commissioner Inspec.Srvc,143520,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M425-702,Asst.Dir for Administration,143520,Cambridge,MA
General Government,Law,Administration,M088-701,Assistant City Solicitor,143520,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M634-001,Director/Planning & Administration,143520,Cambridge,MA
Human Resource Development,Library,Main Library,M410-701,Deputy Director/Lib,143520,Cambridge,MA
General Government,Finance,Revenue,M714-001,Associate Finance Director,143520,Cambridge,MA
General Government,Human Resources,Administration,M093-701,Deputy Director/Personnel,143520,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M767-701,Asst.Dir./Adult & Fam. Srvc,143520,Cambridge,MA
General Government,Executive,Office of Equity and Inclusion,M148-701,Dir. of Equity and Inclusion,143520,Cambridge,MA
Community Maintenance and Development,Community Development,Administration,M313-701,Deputy Director/Chief Planner,143520,Cambridge,MA
General Government,City Council,Administration,O001-701,Mayor,143374,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,M370-701,Assistant Dir. of Operations,143224,Cambridge,MA
Human Resource Development,Human Rights Commission,Administration,M029-701,Exec Dir Human Rights,142597,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005420,Assistant Principal,142517,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004159,Assistant Principal,142517,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004161,Assistant Principal,142517,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004158,Assistant Principal,142517,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005422,Assistant Principal,142517,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004444,Assistant Principal,142517,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005300,Assistant Principal,142517,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005302,Assistant Principal,142517,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005303,Assistant Principal,142517,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Street Management,M536-001,Asst. Dir. for Street Mngmtn.,141575,Cambridge,MA
General Government,Law,Administration,M088-704,Assistant City Solicitor,140299,Cambridge,MA
General Government,Law,Administration,M088-703,Assistant City Solicitor,140218,Cambridge,MA
Human Resource Development,Human Services,Office of Early Childhood,M250-701,Executive Dir.Birth to 3rd Prt,140156,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00004303,Lead Physical Therapist,139810,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M046-001,Supt/Streets & Bridges,139507,Cambridge,MA
Community Maintenance and Development,Community Development,Housing,M590-701,Dir/Housing,139507,Cambridge,MA
Community Maintenance and Development,Public Works,Fleet Management,M389-701,Fleet Manager,139507,Cambridge,MA
General Government,Finance,Assessing,M279-701,Principal Commercial Appraiser,139507,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M071-701,Fiscal Director/DPW,139507,Cambridge,MA
Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M585-701,Dir/Environmental & Transporta,139507,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M280-701,Director/Eng Svs Supt/Sewers,139507,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004186,Dean of Curriculum & Program,139303,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004195,Dean of Curriculum & Program,139303,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000129,DirectorResrch Assess Eval 11M,139009,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-010,Fire Deputy Chief,138511,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-014,Fire Deputy Chief,138511,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-018,Fire Deputy Chief,138511,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-006,Fire Deputy Chief,138511,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-015,Fire Deputy Chief,138449,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-003,Fire Deputy Chief,138449,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-009,Fire Deputy Chief,138449,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-008,Fire Deputy Chief,138449,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-016,Fire Deputy Chief,138449,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-012,Fire Deputy Chief,138449,Cambridge,MA
General Government,Law,Administration,M088-707,Assistant City Solicitor,138286,Cambridge,MA
General Government,Law,Administration,M088-702,Assistant City Solicitor,138286,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-001,Fire Deputy Chief,137885,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-017,Fire Deputy Chief,137885,Cambridge,MA
Education,Cambridge Public Schools,Operations,00005128,Facilities Projects Manager,137337,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F502-007,Fire Deputy Chief,137039,Cambridge,MA
General Government,City Clerk,Administration,O044-701,Deputy City Clerk,136881,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005640,Teacher Special Educator,135241,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00000967,Speech/Language Pathologist,135241,Cambridge,MA
Public Safety,Police,Professional Standards,S464-014,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Traffic Enforcement,S464-169,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Tactical Operations,S464-059,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Professional Standards,S464-009,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Patrol,S464-057,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Patrol,S464-053,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Patrol,S464-047,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Patrol,S464-046,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Patrol,S464-044,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Patrol,S464-012,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Patrol,S464-008,Police Sergeant,135111,Cambridge,MA
Public Safety,Police,Family and Social Justice,S464-026,Police Sergeant,135111,Cambridge,MA
General Government,Law,Administration,M088-708,Assistant City Solicitor,135016,Cambridge,MA
General Government,Law,Administration,M088-706,Assistant City Solicitor,134984,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Administration,M064-001,Asst Dir. Parking Management,134971,Cambridge,MA
Public Safety,Police,Professional Standards,S464-052,Police Sergeant,134657,Cambridge,MA
Public Safety,Police,Patrol,S464-015,Police Sergeant,134657,Cambridge,MA
Public Safety,Police,Criminal Investigations,S464-023,Police Sergeant,134657,Cambridge,MA
Public Safety,Police,Patrol,S464-168,Police Sergeant,134657,Cambridge,MA
Public Safety,Police,Patrol,S464-058,Police Sergeant,134657,Cambridge,MA
Public Safety,Police,Patrol,S464-164,Police Sergeant,134657,Cambridge,MA
Public Safety,Police,Criminal Investigations,S464-165,Police Sergeant,134657,Cambridge,MA
Public Safety,Police,Patrol,S464-028,Police Sergeant,134657,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000134,Technical Services Manager,134523,Cambridge,MA
Education,Cambridge Public Schools,Operations,00005281,Director of Food Services,134521,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00006486,Teacher Special Educator,134241,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005177,Speech/Language Pathologist,134241,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007178,Teacher Special Educator,134241,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004756,Lead Teacher,134221,Cambridge,MA
General Government,Law,Administration,M088-709,Assistant City Solicitor,134075,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005423,Assistant Principal,133945,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004630,Assistant Principal,133945,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005301,Assistant Principal,133945,Cambridge,MA
Human Resource Development,Human Services,Office of Early Childhood,M645-001,Director/Community & Family Engagement,133205,Cambridge,MA
Human Resource Development,Human Services,Office of Early Childhood,M666-001,Dir. of Education,133205,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000905,SocialWorker/AdjustmentCounsel,133006,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004759,Speech/Language Pathologist,133006,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001855,Speech/Language Pathologist,133006,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M509-701,Supervising Landscape Architec,132978,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,M605-001,Environmental Services Manager,132978,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M038-702,Supervising Engineer,132978,Cambridge,MA
General Government,Finance,Information Technology,M206-701,Web Manager,132978,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M505-701,Safety Officer,132978,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M321-001,Info Syst Manager/Pwd,132978,Cambridge,MA
Human Resource Development,Library,Main Library,M227-701,Mgr of Innovation & Technology,132978,Cambridge,MA
General Government,Finance,Information Technology,M706-701,Technical Support Manager,132978,Cambridge,MA
Community Maintenance and Development,Public Works,Urban Forestry,M216-701,Supt.of Urban Forestry&Landscp,132978,Cambridge,MA
General Government,Finance,Information Technology,M097-701,Systems Administration Manager,132978,Cambridge,MA
General Government,Finance,Information Technology,M098-701,Data Anal. & Open Data Pg Mg.,132978,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M096-702,Supervising Engineer,132978,Cambridge,MA
General Government,Finance,Information Technology,M388-701,Security Manager,132978,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M096-701,Supervising Engineer,132978,Cambridge,MA
General Government,Finance,Information Technology,M701-701,Network Manager,132978,Cambridge,MA
General Government,Finance,Information Technology,M149-701,GIS Manager,132978,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M369-701,Application & Database Manager,132978,Cambridge,MA
General Government,Finance,Information Technology,M705-701,Database Administrator,132978,Cambridge,MA
Public Safety,Police,Patrol,S464-024,Police Sergeant,132842,Cambridge,MA
General Government,Finance,Information Technology,M162-701,Project Portfolio Manager,132694,Cambridge,MA
Public Safety,Police,Patrol,S464-005,Police Sergeant,132618,Cambridge,MA
Public Safety,Police,Patrol,S464-033,Police Sergeant,132618,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00001844,Lead Teacher,132590,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M322-701,Infrastructure Manager,132564,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004675,Teacher Special Educator,132375,Cambridge,MA
Public Safety,Police,Patrol,S464-056,Police Sergeant,132165,Cambridge,MA
Public Safety,Police,Patrol,S464-004,Police Sergeant,132165,Cambridge,MA
Public Safety,Police,Family and Social Justice,S464-167,Police Sergeant,132165,Cambridge,MA
Public Safety,Police,Patrol,S464-025,Police Sergeant,132165,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004821,Asst Director Budget & Finance,132092,Cambridge,MA
General Government,Human Resources,Administration,M040-701,Asst Dir. Learning & Develop.,132060,Cambridge,MA
General Government,Human Resources,Administration,M026-001,Manager/Benefits & Compensatio,132060,Cambridge,MA
General Government,Human Resources,Administration,M084-001,Asst Director/HR Development,132060,Cambridge,MA
Human Resource Development,Library,Main Library,M406-703,Asst Director/Lib,132060,Cambridge,MA
Human Resource Development,Library,Main Library,M406-702,Asst Director/Lib,132060,Cambridge,MA
Public Safety,Police,Administration,S464-022,Police Sergeant,131776,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M324-701,Radio Telecommunications Mgr.,131605,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005024,Teacher Special Educator,131375,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007181,Speech/Language Pathologist,131375,Cambridge,MA
Public Safety,Police,Patrol,S464-054,Police Sergeant,131257,Cambridge,MA
Public Safety,Police,Patrol,S464-018,Police Sergeant,131257,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00001143,Teacher Special Educator,131006,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00004304,Teacher Special Educator,131006,Cambridge,MA
Public Safety,Police,Administration,S464-170,Police Sergeant,130469,Cambridge,MA
Public Safety,Police,Traffic Enforcement,S464-062,Police Sergeant,130469,Cambridge,MA
Public Safety,Police,Training,S464-016,Police Sergeant,130469,Cambridge,MA
Public Safety,Police,Technical Services,S464-166,Police Sergeant,130469,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,M083-001,Superintendent Of Parks,130232,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,M603-701,Superintendent of Buildings,130232,Cambridge,MA
Community Maintenance and Development,Public Works,Cemetery,M045-001,Superintendent/Cemeteries,130232,Cambridge,MA
Community Maintenance and Development,Public Works,Fleet Management,M623-002,Assistant Fleet Manager/DPW,130232,Cambridge,MA
Public Safety,Police,Training,S464-060,Police Sergeant,130015,Cambridge,MA
Public Safety,Police,Criminal Investigations,S464-003,Police Sergeant,130015,Cambridge,MA
Public Safety,Police,Family and Social Justice,S464-043,Police Sergeant,130015,Cambridge,MA
Public Safety,Police,Criminal Investigations,S464-034,Police Sergeant,130015,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00001845,Teacher Assistive Technology,129375,Cambridge,MA
