service_type,department,division,position_number,job_title,total_pay,city,state
Human Resource Development,Human Services,Childcare & Family Support Services,D447-714,Head Teacher/Daycare,48461,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004469,Aide-7,48461,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-703,Head Teacher/Daycare,48461,Cambridge,MA
Education,Cambridge Public Schools,Operations,00007319,HVAC Helper,48448,Cambridge,MA
Human Resource Development,Library,Main Library,L431-737,Library Associate,48386,Cambridge,MA
Human Resource Development,Library,Main Library,L431-733,Library Associate,48386,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00003300,Clerk,48258,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D446-705,Teacher/Daycare,48235,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C641-001,Traffic Maintenance Worker I,48197,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C641-008,Traffic Maintenance Worker I,48197,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000152,Bilingual Liaison Coordinator,48101,Cambridge,MA
General Government,Law,Administration,C094-002,Admin Asst/Fisc/Gen/Bld/R,48066,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002156,Aide-6.5,48064,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008287,Aide-6.5,48064,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00000921,Aide-6.5,48064,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005601,Aide-6.5,48064,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005026,Aide-6.5,48064,Cambridge,MA
Human Resource Development,Library,Main Library,L431-738,Library Associate,48019,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-726,Head Teacher/Daycare,48011,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005028,Aide-6.5,47949,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002401,Aide-6.5,47949,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-067,Laborer,47859,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L431-727,Library Associate,47794,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,A471-701,Operations Asst/Solid Waste,47704,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D446-717,Teacher/Daycare,47693,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007152,Aide-7,47617,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004365,Aide-7,47617,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D446-703,Teacher/Daycare,47531,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D446-704,Teacher/Daycare,47441,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002161,Aide-6.5,47418,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005210,Aide-6.5,47418,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004714,Aide-6.5,47418,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005200,Aide-6.5,47418,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00002143,Aide-6.5,47418,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00000925,Aide-6.5,47418,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000218,Technical Assistant,47409,Cambridge,MA
Human Resource Development,Human Services,Community Learning Center,M151-701,Bilingual Office Aide,47383,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005272,School Committee Member,47365,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005273,School Committee Member,47365,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005280,School Committee Member,47365,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005270,School Committee Member,47365,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005271,School Committee Member,47365,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005269,School Committee Member,47365,Cambridge,MA
Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M588-742,Assoc Planner,47163,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00002249,Clerk,47133,Cambridge,MA
